date,ced_code_2018,ced_name_2018,Commonwealth electoral division state,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Double Orphan Pension,Family Tax Benefit A,Family Tax Benefit B,Family Tax Benefit PART A Children,Health Care Card,Low Income Card,Newstart Allowance/Jobseeker Payment,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pension Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance
2019-03,101,Banks,New South Wales,17,29,16317,136,4151,80,1935,2968,3714,5,7516,5759,13983,6590,1352,2829,373,783,8,25496,21,142,119,23,13,166,1225,5933
2019-03,102,Barton,New South Wales,30,37,17189,197,4632,78,2032,2501,3688,5,7935,6148,14279,7257,1536,2884,444,781,10,26267,22,109,130,38,24,175,1400,7067
2019-03,103,Bennelong,New South Wales,49,16,12855,220,2505,55,945,3942,2853,5,6108,4532,10377,6282,1677,1968,214,416,5,19144,15,138,109,12,6,108,1480,6853
2019-03,104,Berowra,New South Wales,10,6,11084,107,1901,61,460,4678,1822,5,3930,2814,7525,3799,919,1093,102,288,5,15149,12,44,56,6,5,71,721,3030
2019-03,105,Blaxland,New South Wales,10,26,15946,296,7724,195,5340,1324,5991,6,16032,13094,34258,15051,2517,6096,2037,1759,20,33882,26,247,145,109,32,345,2658,11744
2019-03,106,Bradfield,New South Wales,8,16,8590,116,1478,50,307,5681,1356,0,3760,2823,6422,3820,899,894,94,210,0,11727,7,79,53,0,0,45,796,3163
2019-03,107,Calare,New South Wales,120,347,20357,138,4691,135,2220,2847,7261,7,10164,8201,20802,9483,1306,4913,489,2362,6,35834,50,8,47,30,38,786,824,10462
2019-03,108,Chifley,New South Wales,54,343,14937,181,6622,269,3936,695,6455,11,15814,12982,33140,12677,1697,6138,883,3028,8,32841,54,102,93,60,38,692,1422,10355
2019-03,109,Cook,New South Wales,11,21,14276,94,2534,64,753,4509,2245,0,4378,3480,7839,3488,698,1470,90,557,5,19690,21,16,32,10,5,106,497,3767
2019-03,110,Cowper,New South Wales,158,512,28705,217,6805,99,3407,3463,9431,11,12233,9786,23783,11660,1623,7347,721,2498,11,50241,50,20,65,45,63,1138,820,17301
